Stock Code,Stock Name
751,"SKYWORTHDIGITAL"
752,"PICO FAR EAST"
753,"AIR CHINA"
754,"HOPSON DEV HOLD"
755,"SHANGHAI ZENDAI"
756,"CHI TIANYI HOLD"
757,"SOLARGIGA"
758,"JUNEFIELD GROUP"
759,"CEC INT'L HOLD"
760,"TALENT PPT GP"
761,"BEL GLOBAL RES"
762,"CHINA UNICOM"
763,"ZTE"
764,"ETERNITY INV"
765,"PERFECTECH INTL"
766,"SINO PROSPER GP"
767,"PACIFIC PLYWOOD"
768,"UBA INVESTMENTS"
769,"CHINA RAREEARTH"
770,"SHANGHAI GROWTH"
771,"AUTOMATED SYS"
773,"CH METAL RECYCL"
775,"CKLIFE SCIENCES"
776,"JF FURNISHINGS"
777,"NETDRAGON"
778,"FORTUNE REIT"
787,"GLOBAL BRANDS"
789,"ARTINI"
794,"COME SURE GROUP"
798,"OVU"
800,"A8 NEW MEDIA"
801,"GOLDEN MEDITECH"
802,"RCG"
803,"PROSPERITY INTL"
805,"GLENCORE-S"
806,"VALUE PARTNERS"
808,"PROSPERITY REIT"
809,"GLOBAL BIO-CHEM"
810,"OPES ASIA"
811,"XINHUA WINSHARE"
812,"TANRICH"
813,"SHIMAO PROPERTY"
814,"JINGKELONG"
815,"CHI SILVER GP"
816,"HUADIAN FUXIN"
817,"FRANSHION PPT"
818,"HI SUN TECH"
819,"TIANNENG POWER"
820,"HSBCDRAGON FUND"
821,"VC HOLDINGS"
822,"KA SHUI INT'L"
823,"LINK REIT"
825,"NWDS CHINA"
826,"TIANGONG INT'L"
827,"KO YO GROUP"
828,"DYNASTY WINES"
829,"SHENGUAN HLDGS"
830,"FAR EAST GLOBAL"
831,"CR ASIA"
832,"CENTRAL CHINA"
833,"ALLTRONICS"
834,"KANGDA FOOD"
835,"ASIA COAL"
836,"CHINA RES POWER"
837,"CARPENTER TAN"
838,"EVA HOLDINGS"
839,"TIANDA OIL PIPE"
840,"TIANYE WATER"
841,"CASSAVA RES"
842,"LEOCH INT'L"
844,"GRAND CONCORD"
845,"GLORIOUS PPT H"
846,"MINGFA GROUP"
847,"KAZAKHMYS-S"
848,"MAOYE INT'L"
850,"PETROASIAN"
851,"SHENG YUAN HLDG"
852,"STRONG PETRO"
853,"MICROPORT"
854,"WILLAS-ARRAY"
855,"CHINA WATER"
856,"VST HOLDINGS"
857,"PETROCHINA"
858,"EXTRAWELL PHAR"
859,"HENRY GROUP"
860,"MING FUNG JEWEL"
861,"DIGITAL CHINA"
862,"VISION VALUES"
864,"WING LEE PPT"
865,"FIRST MOBILE"
866,"CHINA QINFA"
867,"CMS"
868,"XINYI GLASS"
869,"PLAYMATES TOYS"
871,"CH DREDG ENV"
872,"JH AUTO SAFETY"
873,"C TAIFENG BED"
874,"BAIYUNSHAN PH"
875,"CYPRESS JADE"
876,"WING LEE H-NEW"
877,"O-NET COMM GP"
878,"SOUNDWILL HOLD"
880,"SJM HOLDINGS"
881,"ZHONGSHENG HLDG"
882,"TIANJIN DEV"
883,"CNOOC"
884,"CIFI HOLD GP"
885,"FOREFRONT GROUP"
886,"SILVER BASE"
887,"EMPEROR WATCH&J"
888,"ROADSHOW"
889,"DATRONIX HOLD"
890,"REP ITALY B2023"
891,"TRINITY"
893,"CHINAVTM MINING"
894,"MAN YUE TECH"
895,"DONGJIANG ENV"
896,"HANISON"
897,"WAI YUEN TONG"
898,"MULTIFIELD INTL"
899,"ASIA RESOURCES"
900,"AEON CREDIT"
901,"EAGLERIDE INV"
902,"HUANENG POWER"
903,"TPV TECHNOLOGY"
904,"C CULIANGWANG"
905,"MASTERMIND CAP"
906,"COFCO PACKAGING"
907,"ELEGANCEOPTICAL"
908,"ZHUHAI H INV"
909,"ZHONGDA INT'L"
910,"CHINA SANDI"
911,"HANGFAT GINSENG"
912,"SUGA INT'L"
913,"UNITY INV HOLD"
914,"ANHUI CONCH"
915,"LINMARK GROUP"
916,"CHINA LONGYUAN"
917,"NEW WORLD CHINA"
918,"TAKSON HOLDINGS"
919,"MODERN BEAUTY"
921,"HISENSE KELON"
922,"ANXIANYUAN CH"
923,"IWS"
925,"BJ PROPERTIES"
926,"BESUNYEN"
927,"FUJIKON IND"
928,"TACK FIORI"
929,"IPE GROUP"
930,"CHINA FORESTRY"
931,"CHINA LNG"
933,"BRIGHTOIL"
934,"SINOPEC KANTONS"
935,"DRAGON CROWN"
936,"EAGLE LEGEND"
938,"MAN SANG INT'L"
939,"CCB"
940,"C ANIMAL HEALTH"
941,"CHINA MOBILE"
943,"EFORCE HOLDINGS"
945,"MANULIFE-S"
947,"MOBI DEV"
948,"Z-OBEE"
950,"LEE'S PHARM"
951,"CHAOWEI POWER"
952,"QUAM"
953,"MEIKE INT'L"
954,"CHANGMAO BIO"
956,"CHINA SUNTIEN"
958,"HN RENEWABLES"
959,"AMAX INT HOLD"
960,"LONGFOR PPT"
963,"BLOOMAGE BIOTEC"
966,"CHINA TAIPING"
967,"SOUND GLOBAL"
968,"XINYI SOLAR"
969,"HUA LIEN INT'L"
970,"SPARKLE ROLL"
973,"L'OCCITANE"
975,"MONGOL MINING"
976,"CHIHO-TIANDE"
978,"CHI MER LAND"
979,"GREEN ENERGY GP"
980,"LIANHUA"
981,"SMIC"
982,"IONE HOLDINGS"
983,"SOCAM DEV"
984,"AEON STORES"
985,"CST MINING"
986,"CH ENV ENGY-NEW"
987,"CH RENEW EN INV"
988,"LOUDONG GN RES"
989,"GROUND PPT"
990,"THEME INT'L"
991,"DATANG POWER"
992,"LENOVO GROUP"
993,"SIMSEN INT'L"
995,"ANHUIEXPRESSWAY"
996,"CARNIVAL GROUP"
997,"CHINLINK INTL"
998,"CITIC BANK"
999,"I.T"
1000,"BEIJING MEDIA"
1001,"VAN SHUNG CHONG"
1002,"V.S. INT'L"
1003,"21 HOLDINGS"
1004,"RISING DEV HOLD"
1005,"MATRIX HOLDINGS"
1006,"CHANGSHOUHUA"
1007,"DAQING DAIRY"
1008,"BRILLIANT CIR"
1009,"INT'L ENT"
1010,"PACMOS TECH"
1011,"NT PHARMA"
1012,"P ONTARIO B2024"
1013,"WAI CHUN GROUP"
1019,"CONVOY"
1020,"SINOREF HLDGS"
1021,"MIDAS HLDGS-S"
1023,"SITOY GROUP"
1025,"WUMART"
1026,"UNIVERSAL TECH"
1028,"C.BANNER"
1029,"IRC"
1030,"FUTURE LAND"
1031,"KINGSTON FIN"
1033,"YIZHENG CHEM"
1036,"VANKE PPT OVS"
1037,"DAIWA ASSOCIATE"
1038,"CKI HOLDINGS"
1039,"CHANGFENG AXLE"
1041,"CH NEW ENGY PWR"
1043,"COSLIGHT TECH"
1044,"HENGAN INT'L"
1045,"APT SATELLITE"
1046,"UNIVERSE INT'L"
1047,"NGAI HING HONG"
1048,"NOVO GROUP"
1049,"CELESTIAL ASIA"
1050,"KARRIE INT'L"
1051,"G-RESOURCES"
1052,"YUEXIUTRANSPORT"
1053,"CHONGQING IRON"
1055,"CHINA SOUTH AIR"
1057,"ZHEJIANG SHIBAO"
1058,"GUANGDONG TANN"
1059,"KANTONE HOLDING"
1060,"ALI PICTURES"
1061,"ESSEX BIO-TECH"
1062,"CDB INT'L INV"
1063,"SUNCORP TECH"
1064,"ZHONG HUA INT'L"
1065,"TIANJIN CAPITAL"
1066,"WEIGAO GROUP"
1068,"YURUN FOOD"
1069,"CA LOW-CARBON"
1070,"TCL MULTIMEDIA"
1071,"HUADIAN POWER"
1072,"DONGFANG ELEC"
1073,"CHINA AGROTECH"
1075,"CAPINFO"
1076,"IMPERIAL PAC"
1077,"CABLE&W I100B19"
1078,"CABLE&W I 1KB19"
1079,"PINE TECH"
1080,"SHENGLI PIPE"
1082,"HK EDU INTL"
1083,"TOWNGAS CHINA"
1085,"HXTL"
1086,"GOODBABY INTL"
1087,"HL TECHNOLOGY"
1088,"CHINA SHENHUA"
1089,"SUMPO FOOD"
1090,"DA MING INT'L"
1091,"CITIC DAMENG"
1093,"CSPC PHARMA"
1094,"C P PROCUREMENT"
1096,"ACTIVE GROUP"
1097,"I-CABLE COMM"
1098,"ROAD KING INFRA"
1099,"SINOPHARM"
1100,"MAINLAND HOLD"
1101,"CH RONGSHENG"
1102,"ENVIRO ENERGY"
1103,"SHANGHAI TONVA"
1104,"APAC RESOURCES"
1105,"SING TAO"
1106,"SINO HAIJING"
1107,"MODERN LAND"
1108,"LUOYANG GLASS"
1109,"CHINA RES LAND"
1110,"KINGWORLD"
1111,"CHONG HING BANK"
1112,"BIOSTIME"
1114,"BRILLIANCE CHI"
1115,"TIBET 5100"
1116,"MAYER HOLDINGS"
1117,"CH MODERN D"
